Submerged Aquatic Vegetation Monitoring Effort,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,20,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.17,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,20,2,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,20,3,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,30,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.2,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,30,2,0.45,,,,,,,,,,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,30,3,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,40,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.15,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,40,2,0.45,,,,,,,,,,0.16,0,0,0,0,,0,1.7204301075268817,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,40,3,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,50,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.12,0.84,0,0,0.49060000000000004,0,,0,9.032258064516128,0,0,5.275268817204301
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,50,2,0.45,,,,,,,,,,0.08,0,0,0.0892,0,,0,0.8602150537634409,0,0,0.9591397849462365
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,50,3,0.45,,,,,,,,,,0.28,0,0,0,0,,0,3.0107526881720434,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,60,1,0.45,0.2,,,,27.1,8.18,102.6,NV,1.17,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,60,2,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC1,60,3,0.45,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,10,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.73,0.2,0,0,0,0,,0,2.1505376344086025,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,10,2,0.64,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,10,3,0.64,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,20,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.91,1.2,0,0,0,0,,0,12.903225806451612,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,20,2,0.64,,,,,,,,,,6,0,0,0,0,,0,64.51612903225806,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,20,3,0.64,,,,,,,,,,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,30,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.86,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,30,2,0.64,,,,,,,,,,8.8,0,0,0,0,,0,94.6236559139785,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,30,3,0.64,,,,,,,,,,7.2,0,0,0,0,,0,77.41935483870968,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,40,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.87,9.6,0,0,0,0,,0,103.2258064516129,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,40,2,0.64,,,,,,,,,,10.4,0,0,0,0,,0,111.82795698924731,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,40,3,0.64,,,,,,,,,,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,50,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.99,1.4,0,0,0,0,,0,15.053763440860214,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,50,2,0.64,,,,,,,,,,9.2,0,0,0,0,,0,98.9247311827957,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,50,3,0.64,,,,,,,,,,8.8,0,0,0,0,,0,94.6236559139785,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,60,1,0.64,0.2,456.5,430.4,,27.3,9.32,116,NV,0.88,6,0,0,0,0,,0,64.51612903225806,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,60,2,0.64,,,,,,,,,,8,0,0,0,0,,0,86.02150537634408,0,0,0
OPC,2007-06-19 00:00:00,2007,Jun,OPC2,60,3,0.64,,,,,,,,,,6.4,0,0,0,0,,0,68.81720430107528,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,10,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,80,0.47,1.2,0,0,0,0,,0,12.903225806451612,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,10,2,0.35,,,,,,,,,0.53,6.4,0,0,0,0,,0,68.81720430107528,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,10,3,0.35,,,,,,,,,0.6,4.4,0,0,0,0,,0,47.31182795698925,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,20,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,NV,0.55,2.4,0,0,0,0,,0,25.806451612903224,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,20,2,0.35,,,,,,,,,0.56,3.6,0,0,0.0892,0,,0,38.70967741935484,0,0,0.9591397849462365
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,20,3,0.35,,,,,,,,,0.62,0.4,0,0,0,0,,0,4.301075268817205,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,30,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,NV,1.07,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,30,2,0.35,,,,,,,,,1.03,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,30,3,0.35,,,,,,,,,1,0,0,0,0,0,,0,0,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,40,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,NV,0.99,0.6,0.0676,0,0,0,,0,6.451612903225806,0.7268817204301075,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,40,2,0.35,,,,,,,,,1.07,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,40,3,0.35,,,,,,,,,0.76,0.24,0,0,0,0,,0,2.5806451612903225,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,50,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,NV,0.57,3.6,0,0,0,0,,0,38.70967741935484,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,50,2,0.35,,,,,,,,,0.74,0.44,0,0,0.4014,0,,0,4.731182795698925,0,0,4.316129032258064
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,50,3,0.35,,,,,,,,,0.75,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,60,1,0.35,0.3,456.5,430.4,,27.3,7.97,97,NV,0.51,2.4,0,0,0,0,,0,25.806451612903224,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,60,2,0.35,,,,,,,,,0.51,2.4,0,0,0,0,,0,25.806451612903224,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC1,60,3,0.35,,,,,,,,,0.48,0.24,0,0,0,0,,0,2.5806451612903225,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,20,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.44,5.6,0,0,0.0892,0,,0,60.21505376344086,0,0,0.9591397849462365
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,20,2,0.41,,,,,,,,,,3.6,0,0,0,0,,0,38.70967741935484,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,20,3,0.41,,,,,,,,,,4.8,0,0,0,0,,0,51.61290322580645,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,30,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.52,3.2,0,0,0,0,,0,34.40860215053764,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,30,2,0.41,,,,,,,,,,1.72,0,0,0,0,,0,18.49462365591398,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,30,3,0.41,,,,,,,,,,2.8,0,0,0,0,,0,30.10752688172043,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,40,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.44,4.4,0,0,0,0,,0,47.31182795698925,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,40,2,0.41,,,,,,,,,,4.4,0,0,0,0,,0,47.31182795698925,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,40,3,0.41,,,,,,,,,,3.2,0,0,0,0,,0,34.40860215053764,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,50,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.51,4.4,0,0,0,0,,0,47.31182795698925,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,50,2,0.41,,,,,,,,,,4,0,0,0,0,,0,43.01075268817204,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,50,3,0.41,,,,,,,,,,3.2,0,0,0,0,,0,34.40860215053764,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,60,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.57,4.2,0,0,0,0,,0,45.16129032258065,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,60,2,0.41,,,,,,,,,,5.2,0,0,0,0,,0,55.913978494623656,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,60,3,0.41,,,,,,,,,,5.2,0,0,0,0,,0,55.913978494623656,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,70,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.59,6.2,0,0,0,0,,0,66.66666666666667,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,70,2,0.41,,,,,,,,,,4.4,0,0,0,0,,0,47.31182795698925,0,0,0
OPC,2007-06-22 00:00:00,2007,Jun,OPCC2,70,3,0.41,,,,,,,,,,2.08,0,0,0,0,,0,22.365591397849464,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,10,1,0.45,0.7,178.7,195.3,,20.5,7.12,78.8,98,0.45,32,0,0,0,0,,0,344.0860215053763,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,10,2,0.45,,,,,,,,,0.45,19.2,0,0,0,0,,0,206.4516129032258,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,10,3,0.45,,,,,,,,,0.45,29.6,0,0,0,0,,0,318.27956989247315,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,20,1,0.46,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.46,20,0,0,0,0,,0,215.05376344086022,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,20,2,0.46,,,,,,,,,0.46,24,0,0,0,0,,0,258.06451612903226,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,20,3,0.46,,,,,,,,,0.46,24.8,0,0,0,0,,0,266.6666666666667,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,30,1,0.48,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.48,29.6,0,0,0,0,,0,318.27956989247315,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,30,2,0.48,,,,,,,,,0.48,21.6,0,0,0,0,,0,232.25806451612905,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,30,3,0.48,,,,,,,,,0.48,40,0,0,0,0,,0,430.10752688172045,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,40,1,0.54,0.7,178.7,195.3,,20.5,7.12,78.8,80,0.54,24.8,0,0,0,0,,0,266.6666666666667,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,40,2,0.54,,,,,,,,,0.54,20.8,0,0,0,0,,0,223.65591397849462,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,40,3,0.54,,,,,,,,,0.54,24.8,0,0,0,0,,0,266.6666666666667,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,50,1,0.64,0.7,178.7,195.3,,20.5,7.12,78.8,70,0.64,20,0,0,0,0,,0,215.05376344086022,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,50,2,0.64,,,,,,,,,0.64,13.2,0,0.2718,0,0,,0,141.93548387096774,0,2.92258064516129,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,50,3,0.64,,,,,,,,,0.64,16,0,0,0,0,,0,172.04301075268816,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,60,1,0.65,0.7,178.7,195.3,,20.5,7.12,78.8,70,0.65,23.2,0,1.812,0,0,,0,249.46236559139786,0,19.483870967741936,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,60,2,0.65,,,,,,,,,0.65,12,0,3.624,0,0,,0,129.03225806451613,0,38.96774193548387,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC3,60,3,0.65,,,,,,,,,0.65,12.8,0,0,0,0,,0,137.63440860215056,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,10,1,0.63,0.3,649,,,22.4,8.59,100.9,0,0.63,0.2,0,0,0,0,,0,2.1505376344086025,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,10,2,0.63,,,,,,,,,0.63,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,10,3,0.63,,,,,,,,,0.63,0,0,0,0,0,,0,0,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,20,1,0.68,0.3,649,,,22.4,8.59,100.9,0,0.93,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,20,2,0.68,,,,,,,,,0.93,0.08,0,0,0,0,,0,0.8602150537634409,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,20,3,0.68,,,,,,,,,0.93,0,0,0,0,0,,0,0,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,30,1,0.66,0.3,649,,,22.4,8.59,100.9,0,0.87,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,30,2,0.66,,,,,,,,,0.87,0.88,0,0,0,0,,0,9.46236559139785,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,30,3,0.66,,,,,,,,,0.87,0,0,0,0,0,,0,0,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,40,1,0.68,0.3,649,,,22.4,8.59,100.9,0,0.93,0.6,0,0,0,0,,0,6.451612903225806,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,40,2,0.68,,,,,,,,,0.93,1.4,0,0,0,0,,0,15.053763440860214,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,40,3,0.68,,,,,,,,,0.93,0.68,0,0,0,0,,0,7.311827956989248,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,50,1,0.68,0.3,649,,,22.4,8.59,100.9,0,0.88,0.4,0,0,0,0,,0,4.301075268817205,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,50,2,0.68,,,,,,,,,0.88,0.8,0,0,0,0,,0,8.60215053763441,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,50,3,0.68,,,,,,,,,0.88,0.4,0,0,0,0,,0,4.301075268817205,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,60,1,0.67,0.3,649,,,22.4,8.59,100.9,0,1.02,0,0,0,0,0,,0,0,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,60,2,0.67,,,,,,,,,1.02,2.4,0,0,0,0,,0,25.806451612903224,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC1,60,3,0.67,,,,,,,,,1.02,2.8,0,0,0,0,,0,30.10752688172043,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,10,1,0.65,0.3,529,562,,22.7,9.66,115.9,,0.8,2.4,0,0,0,0,,0,25.806451612903224,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,10,2,0.65,,,,,,,,,0.8,2.8,0,0,0,0,,0,30.10752688172043,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,10,3,0.65,,,,,,,,,0.8,3.2,0,0,0,0,,0,34.40860215053764,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,20,1,0.55,0.3,529,562,,22.7,9.66,115.9,,0.67,8.8,0,0,0,0,,0,94.6236559139785,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,20,2,0.55,,,,,,,,,0.67,8,0,0,0,0,,0,86.02150537634408,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,20,3,0.55,,,,,,,,,0.67,8,0,0,0,0,,0,86.02150537634408,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,30,1,0.58,0.3,529,562,,22.7,9.66,115.9,,0.65,7.2,0,0,0,0,,0,77.41935483870968,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,30,2,0.58,,,,,,,,,0.65,4.8,0,0,0,0,,0,51.61290322580645,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,30,3,0.58,,,,,,,,,0.65,9.6,0,0,0,0,,0,103.2258064516129,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,40,1,0.55,0.3,529,562,,22.7,9.66,115.9,0,0.64,4.8,0,0,0,0,,0,51.61290322580645,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,40,2,0.55,,,,,,,,,0.64,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,40,3,0.55,,,,,,,,,0.64,4,0,0,0,0,,0,43.01075268817204,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,50,1,0.63,0.3,529,562,,22.7,9.66,115.9,0,0.63,8,0,0,0,0,,0,86.02150537634408,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,50,2,0.63,,,,,,,,,0.63,8,0,0,0,0,,0,86.02150537634408,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,50,3,0.63,,,,,,,,,0.63,4.8,0,0,0,0,,0,51.61290322580645,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,60,1,0.65,0.3,529,562,,22.7,9.66,115.9,80,0.65,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,60,2,0.65,,,,,,,,,0.65,13.6,0,0,0,0,,0,146.23655913978493,0,0,0
OPC,2007-08-23 00:00:00,2007,Aug,OPC2,60,3,0.65,,,,,,,,,0.65,8.4,0,0,0,0,,0,90.3225806451613,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,10,1,0.63,1.4,2615,2714,,23.1,7.25,95.5,95,0.63,19.6,0,0,0,0,,0,210.75268817204304,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,10,2,0.63,,,,,,,,,0.63,24.8,0,0,0,0,,0,266.6666666666667,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,10,3,0.63,,,,,,,,,0.63,26.4,0,0,0,0,,0,283.8709677419355,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,20,1,0.65,1.4,2615,2714,,23.1,7.25,95.5,95,0.8,24.4,0,0,0,0,,0,262.36559139784947,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,20,2,0.65,,,,,,,,,0.8,24.4,0,0,0.7136,0,,0,262.36559139784947,0,0,7.673118279569892
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,20,3,0.65,,,,,,,,,0.8,20,0,0,0,0,,0,215.05376344086022,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,30,1,0.65,1.4,2615,2714,,23.1,7.25,95.5,95,0.82,25.6,0,0,0,0,,0,275.2688172043011,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,30,2,0.65,,,,,,,,,0.82,22.4,0,0,0,0,,0,240.86021505376343,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,30,3,0.65,,,,,,,,,0.82,23.2,0,0,0.446,0,,0,249.46236559139786,0,0,4.795698924731183
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,40,1,0.63,1.4,2615,2714,,23.1,7.25,95.5,80,0.9,20.8,0,0,0,0,,0,223.65591397849462,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,40,2,0.63,,,,,,,,,0.9,23.2,0,0,0,0,,0,249.46236559139786,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,40,3,0.63,,,,,,,,,0.9,19.2,0,0,0,0,,0,206.4516129032258,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,50,1,0.65,1.4,2615,2714,,23.1,7.25,95.5,50,0.97,24,0,0,0,0,,0,258.06451612903226,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,50,2,0.65,,,,,,,,,0.97,20,0,0,0,0,,0,215.05376344086022,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,50,3,0.65,,,,,,,,,0.97,26,0,0,0.7136,0,,0,279.5698924731183,0,0,7.673118279569892
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,60,1,0.62,1.4,2615,2714,,23.1,7.25,95.5,30,1.05,27.2,0,0,0,0,,0,292.47311827956986,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,60,2,0.62,,,,,,,,,1.05,22.4,0,0,0,0,,0,240.86021505376343,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC2,60,3,0.62,,,,,,,,,1.05,32,0,0,0,0,,0,344.0860215053763,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,10,1,0.39,0.7,1391,1420,,24.4,7.6,91,95,0.39,4.8,0,0,0,0,,0,51.61290322580645,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,10,2,0.39,,,,,,,,,0.39,24,0,0,0.446,0,,0,258.06451612903226,0,0,4.795698924731183
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,10,3,0.39,,,,,,,,,0.39,5.6,0,0,0,0,,0,60.21505376344086,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,20,1,0.67,0.7,1391,1420,,24.4,7.6,91,95,0.67,18.4,0,0,0,0,,0,197.8494623655914,0,0,0
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,20,2,0.67,,,,,,,,,0.67,8.4,0,0,7.805,0,,0,90.3225806451613,0,0,83.9247311827957
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,20,3,0.67,,,,,,,,,0.67,29.6,0,0,0.669,0,,0,318.27956989247315,0,0,7.193548387096775
OPC,2007-08-24 00:00:00,2007,Aug,OPCC1,30,1,0.67,0.7,1391,1420,,24.4,7.6,91,3,1.15,1,0,0,0,0,,0,10.75268817204301,0,0,0
