Component,Date,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM
OPC,2007-10-30,2007,OCT ,16:15:00,mid,OPC2,10,1,0.48,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,10,2,0.48,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,10,3,0.48,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,20,1,0.45,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,20,2,0.45,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,20,3,0.45,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,30,1,0.27,12,0.0,20.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,30,2,0.27,40,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,30,3,0.27,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,40,1,0.19,12,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,40,2,0.19,12,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,40,3,0.19,14,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,50,1,0.24,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,50,2,0.24,11,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,50,3,0.24,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,60,1,0.22,12,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
OPC,2007-10-30,2007,OCT ,,,OPC2,60,2,0.22,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0
