Component,Date,Year,Month ,Start,Tide,Transect,Distance (m),Sample,Secchi (m),Salinity (ppt),Conductivity (µS),Conductance (µS),pH,Temp (°C),DO (mg/L),DO (%),Field Cover (%),Depth (m),Substrate,HV,MS,VA,CD,HD,EC,ZP,PPC,PPF,NM,Comments
OPC,2007-06-22,2007,JUN,,,OPCC1,10,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,80,0.6,Silty,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Weather: Clear sky, breezy"
OPC,2007-06-22,2007,JUN,,,OPCC1,20,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.55,Silty,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,20,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.56,Silty,90,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,20,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.62,Silty,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,30,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,1.07,Silty,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,30,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,1.03,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,30,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,1,Silty,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,40,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.99,Sandy,15,2.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,40,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,1.07,Sandy,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,40,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.76,Sandy,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,50,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.57,Silty,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,50,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.74,Sandy/silty,11,0.0,0.0,9.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,50,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.75,Sandy/silty,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,60,1,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.51,Sandier,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,60,2,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.51,Sandier,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC1,60,3,0.35,0.3,456.5,430.4,,27.3,7.97,97.0,NV,0.48,Sandy/large rocks,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,09:06:00,Low,OPCC2,10,1,,,,,,,,,,,,,,,,,,,,,,First station started at 20 m from edge
OPC,2007-06-22,2007,JUN,,,OPCC2,10,2,,,,,,,,,,,,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,,,OPCC2,10,3,,,,,,,,,,,,,,,,,,,,,,
OPC,2007-06-22,2007,JUN,,,OPCC2,20,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.44,Very silty,140,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,Benchmark: Dead trunk with a wood signal in front - in the corner by the condos
OPC,2007-06-22,2007,JUN,,,OPCC2,20,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,90,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Weather: Clear sky, nice and breezy"
OPC,2007-06-22,2007,JUN,,,OPCC2,20,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,30,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.52,Very silty,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"Survey Team: Bart Merrick, Shanna Schoen, Patricia Delgado"
OPC,2007-06-22,2007,JUN,,,OPCC2,30,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,43,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,30,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,40,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.44,Very silty,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,Fresh clam was found
OPC,2007-06-22,2007,JUN,,,OPCC2,40,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,40,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,50,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.51,Very silty,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,50,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,100,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,50,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,60,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.57,Very silty,105,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,60,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,130,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,60,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,130,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,70,1,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,0.59,Very silty,155,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,70,2,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,110,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-06-22,2007,JUN,,,OPCC2,70,3,0.41,0.2,451.2,461.9,,23.8,6.58,77.5,50,,Very silty,52,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,12:25:00,low 1.3,OPC1,10,1,0.63,0.3,649.0,,,22.4,8.59,100.9,NV,0.63,stony,5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,benchmark-#15 marker: low tide-ebbing
OPC,2007-08-23,2007,AUG,,,OPC1,10,2,0.63,0.3,649.0,,,22.4,8.59,100.9,NV,0.63,stony,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,10,3,0.63,0.3,649.0,,,22.4,8.59,100.9,NV,0.63,stony,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,20,1,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,stony,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,20,2,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,stony,2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,20,3,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,stony,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,30,1,0.66,0.3,649.0,,,22.4,8.59,100.9,NV,0.87,stony,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,30,2,0.66,0.3,649.0,,,22.4,8.59,100.9,NV,0.87,stony,22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,30,3,0.66,0.3,649.0,,,22.4,8.59,100.9,NV,0.87,stony,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,40,1,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,silt,15,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,40,2,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,silt,35,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,40,3,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.93,silt,17,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,50,1,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.88,silt,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,50,2,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.88,silt,20,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,50,3,0.68,0.3,649.0,,,22.4,8.59,100.9,NV,0.88,silt,10,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,60,1,0.67,0.3,649.0,,,22.4,8.59,100.9,NV,1.02,silt,0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,60,2,0.67,0.3,649.0,,,22.4,8.59,100.9,NV,1.02,silt,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC1,60,3,0.67,0.3,649.0,,,22.4,8.59,100.9,NV,1.02,silt,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,13:32:00,low 1.3,OPC2,10,1,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.8,silt,60,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,10,2,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.8,silt,70,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,10,3,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.8,silt,80,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,20,1,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.67,silt,220,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,20,2,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.67,silt,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,20,3,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.67,silt,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,30,1,0.58,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.65,silt,180,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,30,2,0.58,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.65,silt,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,30,3,0.58,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.65,silt,240,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,40,1,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.64,silt,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,40,2,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.64,silt,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,40,3,0.55,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.64,silt,100,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,50,1,0.63,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.63,silt,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,50,2,0.63,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.63,silt,200,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,50,3,0.63,0.3,529.0,562.0,,22.7,9.66,115.9,NV,0.63,silt,120,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,60,1,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,80,0.65,silt,140,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,60,2,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,80,0.65,silt,340,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC2,60,3,0.65,0.3,529.0,562.0,,22.7,9.66,115.9,80,0.65,silt,210,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,09:00:00,1.7,OPC3,10,1,0.45,0.7,178.7,195.3,,20.5,7.12,78.8,98,0.45,silt,800,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,tide ebbing; benchmark-marsh point on south
OPC,2007-08-23,2007,AUG,,,OPC3,10,2,0.45,0.7,178.7,195.3,,20.5,7.12,78.8,98,0.45,silt,480,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,10,3,0.45,0.7,178.7,195.3,,20.5,7.12,78.8,98,0.45,silt,740,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,20,1,0.46,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.46,silt,500,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,20,2,0.46,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.46,silt,600,0.0,0.0,0.0,,8.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,20,3,0.46,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.46,silt,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,30,1,0.48,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.48,silt,740,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,30,2,0.48,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.48,silt,540,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,30,3,0.48,0.7,178.7,195.3,,20.5,7.12,78.8,95,0.48,silt,1000,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,40,1,0.54,0.7,178.7,195.3,,20.5,7.12,78.8,80,0.54,silt,620,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,40,2,0.54,0.7,178.7,195.3,,20.5,7.12,78.8,80,0.54,silt,520,0.0,0.0,0.0,,13.0,0.0,0.0,,0.0,
OPC,2007-08-23,2007,AUG,,,OPC3,40,3,0.54,0.7,178.7,195.3,,20.5,7.12,78.8,80,0.54,silt,620,0.0,0.0,0.0,,7.0,0.0,0.0,,0.0,
